gene,perm_importance_mean,perm_importance_std
PSMD6-AS1,2.134243366596067e-05,1.9737062514297627e-05
CACNA1A,2.134243366596067e-05,1.9737062514297627e-05
PAN3-AS1,2.1294929354698233e-05,7.09972682141162e-06
KCND2,2.124735412132317e-05,7.08245137377439e-06
AL024507.2,2.124735412132317e-05,7.08245137377439e-06
WNT11,2.124735412132317e-05,7.08245137377439e-06
PAGE2,2.124735412132317e-05,7.08245137377439e-06
AC011498.1,2.121003997355153e-05,9.633786728846516e-06
THEMIS,2.1199854851383648e-05,7.224949183592955e-06
AC009093.6,2.1199854851383648e-05,7.224949183592955e-06
ADCY10,2.118637341386176e-05,0.0
AL078604.2,2.118637341386176e-05,0.0
TRAC,2.1151584272705028e-05,3.427126378295746e-05
AC022400.7,2.090987137086664e-05,9.955514418893329e-06
NR4A2,2.0866964883614613e-05,1.2820021009630026e-05
GJA5,2.079689027753018e-05,1.0664416113351263e-05
SLC17A9,2.0762933776907744e-05,1.2660114529008111e-05
LINC00973,2.07461603730974e-05,4.375193589015934e-05
PHF19,2.0738507915496473e-05,6.526546217012085e-05
NR2F2,2.072474902492516e-05,4.7980024546921256e-05
AC005332.8,2.0703673207977945e-05,1.631370114879912e-05
AC058791.1,2.0537226381212025e-05,3.1219121193242325e-05
LINC01960,2.0379698390438074e-05,6.9627731589534795e-06
MUC4,2.0150777526062315e-05,3.0360576568326984e-05
G0S2,1.8978053527041185e-05,2.3913482972844795e-05
AC003101.2,1.8878381686904255e-05,1.0411083785522024e-05
CD37,1.8839250430813247e-05,2.0952359401056447e-05
GTSE1,1.8803667484645904e-05,6.010185211589332e-05
GNLY,1.8547800424251192e-05,2.9919971551308503e-05
FAM111B,1.8445342419182165e-05,2.496546802595425e-05
AL391121.1,1.8422773241166813e-05,1.2815316884156722e-05
GALNT3,1.8307303269848862e-05,1.2594970545212872e-05
AC100826.1,1.815931289443906e-05,1.4005760564412206e-05
KIF2C,1.8153004933252338e-05,6.011923902379448e-05
TSC22D1,1.7985208995119352e-05,5.859910844146139e-05
AC004687.1,1.795215994119248e-05,1.674197484480165e-05
AC010907.2,1.7917148232737823e-05,1.8790503197300523e-05
TBX3,1.7844768817754096e-05,6.323762407884874e-05
RDH10,1.7690933999514603e-05,5.0880701394846785e-05
SNAPC1,1.755405442146474e-05,3.440949093637026e-05
CSKMT,1.745203893807057e-05,9.15020872876941e-05
SCG5,1.7432098278036268e-05,3.2623842194946895e-05
CR2,1.7377225709636067e-05,2.1369070497560814e-05
APOE,1.7305904893416547e-05,2.1164591800103923e-05
GZMH,1.725104108700748e-05,1.5893607379724717e-05
SPP1,1.719647857741924e-05,7.46289483638599e-05
CAMK2N1,1.710899387837861e-05,4.8478812066866184e-05
HIST1H1E,1.6833297813489967e-05,7.068697143853813e-05
DUSP28,1.6716159795382435e-05,2.824243239459135e-05
AC068389.1,1.6582374884321904e-05,1.5742544857723873e-05
F3,1.6428021938708072e-05,6.670932246201134e-05
LINC01943,1.6387777332249608e-05,2.8120439073828323e-05
AC012555.2,1.5886871882320187e-05,1.0486535346849481e-05
CADPS,1.58863906105422e-05,1.7301987578251286e-05
